term	rank_other	rank_category
beers	70	194
best ve	1014	1038
excellent	29	61
known	755	789
glad	1013	998
must	122	150
customer	585	887
grill	753	880
bartender	848	727
room	510	180
salad	519	135
this	752	675
local	180	243
getting	587	330
best place	751	944
breakfast	109	103
worth	53	48
reviews	509	1068
soup	371	283
first time	300	461
bloody mary	1063	955
always good	408	685
making	750	562
dining experience	1081	1012
ribs	533	576
something	264	146
beautiful	407	511
heart	749	693
crazy	508	687
months	1088	645
tap	155	453
plate	633	435
pie	665	395
awesome	35	43
share	584	517
terrible	335	1079
high	237	246
heard	664	678
foods	663	764
way	98	95
salty	1011	886
veggies	847	1046
want	76	65
every	133	86
times	121	114
brunch	280	77
lamb	948	898
huge	97	129
needs	748	1011
end	453	351
winter	1080	730
conversation	497	920
vibe	379	404
comfort	581	997
small plates	1079	921
love it	334	818
lounge	452	879
located	966	452
sunday	373	344
food always	507	965
instead	688	722
establishment	843	735
goat	1009	539
afternoon	583	772
fare	506	723
entree	842	829
okay	450	394
tried	298	157
cocktail	747	437
may	263	336
overall	226	254
dive	449	1025
dish pizza	1078	650
them	309	396
spot	63	49
mac	841	471
birthday	840	446
vegan	262	468
next time	636	863
date	406	206
salsa	839	752
appetizer	715	478
guys	838	943
everyone	273	217
man	837	942
tomato	1008	751
short	746	699
remember	745	677
together	603	671
slightly	417	747
tapas	1077	574
counter	398	787
lines	369	798
so	477	417
like	11	13
greek	1076	870
cannot	808	1054
honestly	815	834
south	648	692
pay	662	508
ingredients	661	348
re looking	744	698
pulled	921	759
playing	743	1078
bartenders	635	497
typical	562	500
cute	660	587
serving	920	1074
mexican	126	212
help	1006	929
cheese	163	63
soon	580	609
deep dish pizza	1075	665
ended	916	1023
logan	1074	1045
including	742	619
looks	579	555
cold	333	454
still	169	126
dont	658	856
perfect	159	117
style	144	202
rooftop	697	804
ve never	845	551
personal	835	1010
interesting	201	368
ll	200	109
appetizers	332	401
avocado	741	1077
hot	260	92
actually	331	301
late	627	191
offers	1073	656
choose	657	460
savory	944	989
hidden	943	708
main	740	705
might	346	370
belly	978	696
good place	295	361
wouldn	368	613
non	739	824
evening	851	484
return	941	771
combination	738	878
dim	330	1057
food	1	2
well worth	504	828
cupcake	1004	958
lunch	143	64
starbucks	1072	1009
they	179	195
party	451	307
not	737	550
toppings	532	490
wicker park	1071	823
now	736	717
day	153	94
bread	259	226
easily	833	817
gets	365	292
name	735	507
potatoes	639	589
reasonably	503	492
didn	137	186
mexican food	190	697
filling	832	655
weather	1070	744
stopped	831	1076
reasonable	329	339
rock	1003	957
found	404	415
went	152	78
pizza	15	22
side	175	132
mean	830	864
heavy	655	814
el	734	1037
square	1002	608
upstairs	919	615
wrong	257	297
list	269	171
fish	38	273
hard	178	295
ambiance	293	346
idea	829	978
group	392	200
sports bar	940	1024
owner	577	596
used	502	418
variety	413	290
great place go	939	1008
year	501	716
girl	938	855
thing	215	193
salads	733	502
event	828	682
ice cream	466	374
out	90	133
get early	576	928
specials	310	213
opened	575	816
space	654	183
house	165	289
walked	674	858
truly	574	770
since	328	201
lunch dinner	1001	988
work	238	152
looking	151	158
re	69	46
seriously	671	746
got	106	107
get	9	7
pretty good	150	255
red	652	350
shows	732	941
food great	188	192
rude	573	1084
also good	651	1064
sandwich	250	145
friday	937	498
given	650	877
pub	572	565
standard	551	529
pleasant	1000	1007
grilled	571	476
completely	855	999
put	570	431
wanted	447	515
greasy	666	830
unique	279	223
ate	731	796
couldn	499	681
selections	936	932
waiter	498	590
could	62	124
area	125	80
ask	292	338
days	730	631
keep	187	411
ordering	524	512
american	728	580
would go	291	795
yum	999	637
ve ever had	528	758
enough	164	161
margaritas	446	549
loud	186	309
top	170	148
waitress	946	521
first	105	97
enjoy	268	125
dine	935	822
hands down	647	1063
it good	934	704
taco	192	408
feel	119	128
coming	444	252
scene	899	799
fancy	827	649
one	13	10
lettuce	998	987
done	403	378
fast	234	197
another	290	288
wasn	402	270
hear	646	848
art	806	940
thick	997	964
miss	569	422
size	645	510
take	89	93
city	443	57
guess	932	919
long	84	108
quality	80	139
spinach	931	910
gourmet	644	1005
even better	643	897
bite	642	385
least	401	355
anyone	400	524
wonderful	162	235
ton	1067	926
too	52	99
stuffed	826	725
time	16	18
white	727	547
perfectly	442	488
really	12	11
dogs	825	592
store	641	703
option	844	362
mostly	930	1056
that	136	112
can go	726	627
exactly	929	1083
serve	496	354
took	440	358
part	367	384
burrito	439	750
thai	233	245
believe	725	854
haven	567	504
past	859	710
kind	399	248
12	640	1055
late night	928	381
great beer	326	542
things	174	278
double	495	963
crowded	235	198
told	516	755
seated	566	496
matter	985	908
street	203	272
friend	325	230
light	366	561
visited	822	827
feeling	821	813
great food	110	147
and	438	304
plus	236	293
tasted	638	474
outstanding	289	586
can	99	83
half	227	324
modern	820	602
flavorful	927	554
locations	926	885
comfortable	996	812
sit	214	227
tastes	437	531
buy	679	934
have	898	1081
pork belly	1066	1089
seen	819	646
seem	324	749
saw	818	852
sat	924	956
nights	565	416
place	4	3
dishes	212	122
dancing	995	1088
convenient	723	1082
able	923	506
waffles	975	837
mix	1010	566
recommended	690	518
sandwiches	277	187
which	994	876
interior	816	835
green	836	516
korean	993	961
even	96	55
play	722	636
sure	88	96
multiple	1044	1052
bottle	922	743
though	79	72
park	256	229
eggs	814	430
salmon	813	862
sausage	594	537
buffet	812	1075
regular	563	525
mouth	322	794
plan	1065	884
eaten	531	791
nothing	131	199
extremely	492	569
don	28	40
especially	149	168
hot dog	1064	875
egg	582	436
seafood	229	380
later	761	694
dog	976	420
order	74	52
looked	721	894
definitely	142	42
nice place	720	811
patio	191	138
clean	395	501
occasion	719	925
notch	464	783
review	811	742
fact	867	667
shop	321	410
walking	673	946
think	120	110
shot	810	1004
overpriced	255	559
show	254	425
long wait	637	962
meal	158	98
watch	171	335
bring	252	259
large	141	170
corner	992	874
good service	304	445
fine	718	558
enjoyed	428	285
staff	39	35
toast	1062	439
slow	338	398
based	991	977
food drinks	561	891
with	552	867
weekends	435	343
outside	209	179
here	60	53
only	491	896
going	78	82
black	717	626
rich	950	651
money	320	533
chipotle	918	1034
rice	716	300
feel like	634	546
loved	433	232
do	708	904
hit	560	495
watching	846	570
beat	432	654
michigan	1061	733
de	990	670
stop	364	207
hot chocolate	989	972
little bit	947	788
go to	809	662
joint	251	467
feels	988	954
ones	1007	869
perfection	807	1029
despite	987	1003
reasonably priced	490	532
15	489	680
spicy	494	260
years	488	352
chips	147	443
place go	185	231
gem	917	595
bar	21	15
places	113	119
course	261	369
pretzel	1060	1022
bland	285	1087
morning	287	618
twice	1059	953
bad	101	164
stuff	430	635
food service	210	607
hype	986	952
grab	286	328
river	1058	400
restaurants	202	244
available	709	530
bars	429	465
set	915	868
place chicago	1068	1044
bit pricey	914	970
fair	632	969
roasted	1057	968
seat	631	568
cocktails	363	228
see	118	163
decided	805	769
college	913	1073
parking	231	377
tender	1056	715
close	427	306
noodles	804	579
yes	479	505
packed	230	318
seems	387	480
said	249	407
visiting	834	849
lots	177	276
wow	949	642
please	911	776
ve ever	394	388
won	319	341
yogurt	1055	1072
probably	198	214
across	711	606
wide	710	873
affordable	713	622
we	284	600
recently	630	605
10	362	284
tables	208	282
service good	471	594
attention	984	995
however	73	233
cheap	130	218
job	910	786
coffee	129	51
french	383	268
key	1069	1006
sweet potato	909	994
must try	505	911
come	71	54
kitchen	558	585
water	339	657
fried	223	177
last	283	296
little pricey	707	993
restaurant	22	29
many	95	100
taking	982	976
la	578	745
quiet	1054	939
amazing	33	25
etc	981	674
else	140	317
games	908	393
quite	327	204
whole	360	390
asked	557	872
comes	556	349
otherwise	907	986
liked	555	487
great selection	629	781
point	487	483
wall	887	810
sweet	478	159
others	425	938
whatever	729	927
walk	318	319
tons	850	973
simply	485	709
away	393	267
italian food	628	903
table	100	84
crispy	705	482
expensive	197	265
turkey	905	838
better	26	58
cream	378	251
beef	554	156
addition	704	741
west	703	707
due	783	935
tiny	801	992
quickly	904	481
beer	10	26
much	59	60
seasoned	625	1028
treat	945	578
excellent service	702	1086
tv	553	1021
expected	701	691
lovely	903	729
mary	1053	800
bbq	228	269
life	700	617
lived	1052	1071
mind	282	519
al	1033	1016
orange	699	937
pricey	184	242
pulled pork	1051	981
doesn	281	372
coming back	616	792
catch	714	971
chili	1028	1000
attentive	800	357
deep dish	961	256
would definitely	980	960
great service	248	322
look	247	371
solid	799	310
sauce	199	116
bill	901	1053
cash	624	509
value	483	612
choices	900	485
weren	956	1058
fun	49	59
loop	1050	303
wait staff	623	793
service great	391	360
service always	925	1030
almost	549	334
staff friendly	897	581
is	424	577
sushi	51	102
surprisingly	823	853
middle	1049	679
someone	359	630
it great	659	419
experience	218	69
in	317	234
ready	622	846
mediocre	271	1040
tacos	107	185
cuisine	896	621
different	316	155
cafe	315	379
open	213	181
suggest	906	780
make	48	41
bowl	548	470
expect	189	314
check	205	225
delicious	40	19
pad	979	861
split	942	982
plates	480	414
several	448	464
events	895	803
would	18	31
week	389	264
fairly	894	821
finish	798	1062
pho	695	975
one best	246	239
again	377	286
drink	116	75
hang	358	458
hand	621	985
average	211	337
fruit	620	851
garlic	547	641
quality food	694	1002
great location	390	871
tuna	546	890
totally	545	591
beer list	893	640
butter	977	491
early	207	275
noodle	892	1020
off	544	882
try	34	28
incredible	790	456
well	27	30
food delicious	891	653
deal	420	457
thought	423	444
person	294	543
priced	160	236
without	619	291
hot dogs	890	991
the	543	333
spend	618	768
great place	45	79
left	355	572
seasonal	1048	918
summer	692	196
outdoor	796	237
less	388	434
knowledgeable	889	695
hands	405	520
rest	617	860
front	542	448
lincoln park	1047	931
touch	888	1032
flavor	712	209
yet	314	392
guacamole	974	740
dining	354	203
generous	795	950
cut	691	785
die for	794	548
family	245	281
cup	824	664
had	426	323
they re	323	383
simple	706	588
add	886	611
location	42	87
easy	422	365
definitely worth	902	779
extensive	615	859
surprised	793	673
gave	885	714
real	183	397
customers	973	1080
around	146	104
would recommend	564	564
also great	884	689
big	93	113
couple	313	412
it worth	883	902
dark	693	541
game	353	257
top notch	486	847
outdoor seating	972	661
need	176	221
world	689	513
bit	61	68
highly	356	210
disappointed	385	353
wings	541	405
meat	154	165
lincoln	1046	538
helpful	882	535
onion	352	734
cool	57	162
50	384	1061
serves	1045	1042
server	540	364
burgers	86	105
either	278	473
night	56	36
popular	539	669
served	421	299
nice	37	20
soft	792	748
great atmosphere	241	545
seating	182	173
right	139	90
old	115	189
live music	609	809
crowd	436	261
people	47	45
absolutely	351	331
highly recommend	538	347
date night	881	959
good beer	276	724
tvs	971	1031
decor	94	118
service	7	8
lobster	537	767
you re looking	687	701
trendy	614	949
unless	397	996
love place	419	312
sauces	536	775
food amazing	535	676
happy hour	87	573
slice	613	599
mood	791	1019
for	418	287
phenomenal	382	1018
avoid	476	893
ice	462	298
creative	686	652
wine list	685	967
everything	114	88
truffle	970	917
three	612	387
price	124	120
be	969	711
run	789	660
business	534	604
intimate	1020	899
corn	880	889
view	135	553
beer selection	82	253
isn	258	311
go back	225	263
although	475	321
amazing food	788	866
river north	1043	567
stay	684	784
super	224	130
noisy	879	948
on	683	560
about	787	936
ok	104	271
diner	349	429
anything	275	258
oh	786	427
of	785	901
craft	611	583
delish	878	984
favorite	72	34
shrimp	682	399
always great	312	774
dinner	103	70
old school	474	916
beans	606	659
stand	877	739
wicker	1082	777
mixed	381	881
every time	473	472
italian	157	154
curry	764	754
pastries	784	966
prices	55	115
food good	81	176
plenty	493	424
going back	626	951
down	274	442
small	128	73
lakeview	1041	983
good time	1026	820
even though	968	620
parties	1040	1001
next	156	211
rolls	610	316
often	244	359
impressed	243	672
bar food	782	563
tasting	608	614
aren	415	684
friends	172	66
there	77	76
20	380	494
spots	681	686
meals	967	731
start	680	503
don know	414	833
low	529	639
homemade	876	638
lou	1039	980
music	111	106
it always	1038	1041
happy	67	224
head	607	766
medium	952	1085
north	875	313
offer	874	327
anywhere	206	836
great experience	1037	1060
but	347	479
back	36	27
delivery	1036	463
bun	873	845
you re	161	71
trying	345	366
true	605	915
eat	31	62
also	32	16
rush	781	914
made	168	101
portions	68	205
romantic	678	907
much better	434	909
come back	767	469
wish	604	475
inside	173	222
potato	342	455
fries	85	111
up	526	345
us	127	121
byob	1035	280
whiskey	872	808
cake	272	363
piece	983	883
minutes	311	342
called	780	1017
say	123	142
atmosphere great	677	906
gone	871	900
outdoor patio	1034	825
sometimes	386	386
ordered	196	131
classic	525	356
taste	222	160
reservations	965	540
upscale	482	732
best	6	9
really like	1005	839
deep	676	215
hungry	396	712
single	870	1051
tasty	167	91
at	675	924
home	350	241
you ll	297	266
delicious food	468	757
trip	817	663
fill	696	1033
traditional	470	534
maybe	296	375
veggie	344	499
know	92	123
floor	797	523
highly recommended	1032	1050
tip	523	728
menu	46	21
saturday	412	406
club	467	721
crust	253	216
special	75	144
you	30	24
incredibly	869	633
roll	376	462
ever had	465	466
place get	343	720
star	964	440
monday	779	947
felt	778	629
prepared	777	294
town	50	190
chance	776	1049
reservation	602	426
pizzas	416	552
weekend	530	320
sides	963	658
decent	117	149
ago	601	913
wife	527	738
lot	108	137
food excellent	522	832
daily	960	737
cooked	242	376
portion	600	556
thai food	868	1027
came	288	143
go wrong	441	432
wine	145	127
fresh	112	81
baked	775	895
original	521	763
