term	rank_other	rank_category
rice	788	211
feel like	562	531
loved	183	256
plate	387	471
hit	465	504
watching	513	589
beat	620	645
de	742	585
watch	320	350
little bit	680	783
go to	671	628
joint	489	456
ones	753	779
reasonably priced	638	483
late night	388	394
years	485	317
chips	586	414
place go	240	230
gem	705	545
bar	13	19
morning	440	725
come back	413	503
bad	164	162
stuff	704	584
food service	534	635
grilled	382	541
grab	362	316
river	341	432
view	317	799
affordable	744	540
bars	546	435
seat	480	608
cocktails	129	292
see	182	155
decided	703	735
parking	439	369
tender	696	676
close	281	314
noodles	801	426
flavor	221	204
packed	306	326
said	405	413
great food	118	153
lots	226	295
review	653	754
please	711	734
ve ever	346	419
won	310	366
it	5	5
probably	216	216
across	596	607
meal	82	111
available	613	482
we	595	598
recently	637	583
however	202	245
coffee	171	37
french	158	338
great selection	695	757
group	198	201
come	51	56
kitchen	412	722
hours	314	351
last	266	302
restaurant	29	28
minutes	344	344
service great	335	387
amazing	24	23
etc	719	601
games	556	358
whole	456	378
comes	338	363
liked	438	502
mac cheese	369	606
point	510	462
wall	748	720
had	352	313
walk	334	312
ve never	441	597
happy hour	419	675
simply	694	658
away	273	268
italian food	797	663
table	63	97
crispy	495	467
expensive	291	259
better	72	57
beef	228	138
addition	619	778
west	669	673
due	780	798
quickly	444	496
beer	17	31
much	64	59
treat	682	526
expected	612	700
lovely	577	797
bbq	241	277
life	605	619
mind	404	573
else	277	333
pricey	210	255
craft	494	627
doesn	324	409
prices	152	105
brunch	25	168
attentive	325	386
deep dish	802	176
great service	272	352
look	345	396
solid	280	325
sauce	165	98
cash	714	431
value	710	556
choices	479	481
near	594	533
many	117	96
fun	61	60
loop	285	306
stop	259	191
ve	22	24
almost	386	321
staff friendly	576	576
is	642	544
sushi	677	68
them	399	406
middle	731	605
evening	473	485
it great	411	425
in	237	240
breakfast	45	184
cuisine	741	546
different	189	144
delicious food	609	803
pay	581	474
make	44	41
bowl	771	382
check	235	225
delicious	23	18
pad	812	618
belly	566	744
plates	330	458
several	436	473
mexican food	767	572
week	284	264
fairly	730	772
used	432	416
pho	803	708
slightly	687	728
one best	217	248
drink	71	76
hang	503	440
would go	678	788
garlic	693	593
favorites	575	508
totally	533	617
beer list	455	753
butter	437	507
early	220	299
noodle	800	752
burrito	775	624
try	34	27
incredible	428	475
well	30	29
food delicious	545	693
thought	368	499
person	578	524
priced	238	239
without	289	288
bottle	735	674
the	376	324
spend	670	761
left	491	610
summer	206	193
outdoor	201	257
less	443	434
money	614	494
half	375	310
not	448	591
yes	470	514
yet	392	405
tables	276	283
cut	708	751
die for	565	530
cup	754	563
seems	469	480
they re	457	370
simple	445	664
add	555	630
location	86	86
easy	381	373
sweet	148	171
coming back	743	713
surprised	564	699
gave	635	719
real	604	354
around	109	102
also great	603	707
big	143	100
couple	426	407
dark	488	560
game	204	287
know	142	117
outdoor seating	593	662
world	493	510
bit	68	71
unique	170	247
disappointed	410	339
wings	309	461
meat	205	154
lincoln	478	555
helpful	532	523
you re	75	73
server	296	415
either	431	493
night	40	34
popular	573	688
served	243	315
nice	20	21
soft	713	698
awesome	43	45
italian	729	103
seating	197	173
right	93	89
old	167	196
live music	766	682
deal	641	412
people	56	44
absolutely	319	347
highly recommend	374	346
back	31	25
10	270	286
decor	103	121
service	6	9
you re looking	618	706
home	305	223
love place	340	301
sauces	651	786
slice	774	492
for	295	282
ice	402	267
creative	554	687
great time	718	777
everything	69	101
price	161	104
be	611	733
run	707	600
business	508	644
beer selection	185	293
isn	267	332
go back	239	273
although	329	320
pasta	631	390
super	175	115
on	592	538
ok	253	274
diner	147	811
anything	230	271
oh	487	418
always good	591	697
ribs	531	587
months	463	743
favorite	53	30
shrimp	544	372
always great	702	742
dinner	50	83
toppings	627	437
stand	634	760
donuts	777	520
every time	453	470
curry	795	564
pastries	785	794
food good	154	195
three	403	392
down	477	430
small	85	64
weather	676	739
even though	617	613
next	219	210
rolls	773	236
often	385	365
impressed	476	770
bar food	358	741
tasting	447	714
aren	650	654
friends	65	66
there	84	69
spots	553	732
meals	668	718
start	475	506
low	649	616
stars	632	586
lou	811	705
music	208	85
happy	193	241
head	701	731
buy	784	769
north	318	309
offer	394	308
anywhere	727	793
but	452	491
delivery	781	371
beans	734	582
line	200	181
trying	349	385
eat	77	58
also	19	17
rush	765	804
made	98	99
portions	181	220
places	128	113
service good	502	636
wish	519	455
inside	225	224
potato	316	575
fries	52	178
up	451	311
us	94	131
byob	584	226
cake	409	356
fried	121	219
vibe	371	423
average	286	375
say	132	141
expect	248	341
later	644	678
ordered	122	134
classic	332	381
taste	160	160
reservations	415	615
pie	610	353
deep	768	147
dog	234	623
list	112	206
tasty	95	88
together	458	801
cafe	752	307
trip	543	695
cream	323	231
again	260	291
floor	509	511
tip	657	717
saturday	328	445
special	127	145
you	26	22
incredibly	525	681
roll	751	384
ever had	442	469
star	506	424
felt	626	622
prepared	269	297
town	178	194
reservation	258	581
pizzas	770	433
weekend	283	345
sides	583	672
wife	625	768
lot	159	128
food excellent	739	767
daily	726	671
cooked	357	400
portion	542	554
thai food	810	740
came	88	177
time	21	20
fresh	108	72
baked	761	785
