term	rank_other	rank_category
hard	367	289
ambiance	271	342
idea	840	968
used	248	423
group	287	198
sports bar	1032	988
entree	422	851
expect	326	310
great place go	753	1012
year	839	710
girl	838	845
thing	230	194
salads	939	483
event	938	664
ice cream	880	368
out	118	134
get early	1031	905
specials	278	213
opened	937	803
space	652	175
open	247	178
since	182	201
lunch dinner	366	1033
looking	224	156
re	94	46
laid	1030	1011
got	103	108
get	10	7
pretty good	136	261
red	146	359
shows	651	949
food great	292	192
spot	115	48
friday	750	488
guess	482	943
pub	1029	553
standard	628	520
pleasant	936	987
grilled	749	467
completely	836	986
put	650	427
wanted	748	505
care	649	796
unique	187	227
ate	747	792
couldn	554	685
selections	1028	914
waiter	834	585
could	172	123
area	66	80
ask	325	334
days	486	642
keep	746	401
conversation	745	916
american	553	583
person	654	539
yum	365	657
ve ever had	696	753
enough	91	164
margaritas	994	531
loud	743	302
bite	363	384
waitress	945	502
first	135	97
key	551	1024
cheese	550	59
dine	485	841
there	93	77
hands down	742	1058
it good	741	693
taco	106	428
feel	126	127
coming	323	252
scene	902	785
fancy	484	660
one	24	10
price	59	122
lettuce	414	1023
done	364	380
long	223	105
another	171	293
wasn	145	277
owner	555	597
place chicago	648	1049
thick	483	978
miss	487	422
size	833	497
take	50	96
city	52	57
given	837	864
quality	120	142
spinach	935	900
gourmet	1026	977
even better	934	891
top	372	146
least	362	353
anyone	739	512
wonderful	481	234
ton	933	913
too	99	100
stuffed	1025	709
white	480	546
perfectly	647	478
really	9	12
dogs	1024	582
store	932	686
stars	584	606
mostly	832	1042
that	154	112
can go	479	631
serve	547	350
took	478	356
part	270	389
burrito	931	737
thai	2	790
believe	546	863
haven	545	501
wide	910	856
kind	291	247
12	831	1041
late night	646	376
double	929	942
appetizer	204	495
crowded	227	196
seated	544	491
matter	814	903
street	210	273
friend	269	231
maybe	207	387
visited	738	825
feeling	737	810
great food	153	147
and	412	300
plus	297	291
tasted	411	470
outstanding	410	595
can	95	84
tacos	167	184
modern	829	594
mind	524	515
locations	736	881
comfortable	361	840
tastes	267	538
steak	573	163
service always	645	1032
need	409	219
seen	735	640
seem	828	746
saw	827	843
sat	927	931
nights	826	408
place	4	3
dishes	30	132
dancing	1021	1062
able	734	496
waffles	1020	817
mix	375	576
recommended	455	519
place good	683	973
which	644	880
interior	924	816
so	344	416
even	86	55
good beer	975	708
sure	266	95
multiple	959	1036
hot dogs	1018	971
though	65	74
park	246	230
eggs	733	426
salmon	542	871
would recommend	516	566
regular	541	521
mouth	407	814
plan	732	879
plenty	540	421
nothing	245	199
extremely	477	569
don	80	40
especially	192	169
hot dog	1017	850
egg	195	454
seafood	635	375
later	601	689
dog	985	414
order	27	56
traditional	783	524
definitely	44	43
nice place	731	809
patio	250	137
clean	476	500
occasion	922	912
notch	966	761
review	730	745
fact	689	659
shop	729	400
walking	593	965
selection	181	47
shot	1013	976
overpriced	321	567
show	824	418
sangria	868	874
cheap	102	228
bring	360	256
large	162	172
corner	641	878
good service	429	446
fine	475	557
enjoyed	277	281
staff	60	37
toast	920	429
busy	290	218
based	919	961
food drinks	823	877
true	804	911
weekends	728	331
outside	288	177
fruit	619	854
aren	307	700
here	81	54
only	918	890
stand	699	742
black	917	614
rich	575	658
money	265	542
chipotle	1011	1008
rice	23	351
feel like	537	541
loved	405	229
do	401	928
hit	640	487
great beer	1023	527
beat	726	652
michigan	536	744
de	821	656
watch	665	330
hot chocolate	1010	940
truly	752	764
go to	404	677
joint	639	460
feels	725	948
cannot	638	1056
perfection	1009	1000
despite	1008	975
reasonably priced	203	549
15	403	690
spicy	40	288
years	243	352
chips	915	433
place go	242	233
is	624	573
bar	472	14
places	77	121
course	420	365
pretzel	1007	985
morning	1006	601
twice	637	958
bad	161	159
stuff	913	621
wish	337	474
hype	912	930
grab	724	319
river	819	392
view	1005	534
available	354	526
bars	1004	449
set	723	862
art	818	929
bit pricey	817	957
fair	816	956
lincoln park	803	923
seat	815	560
cocktails	358	226
see	191	158
decided	470	786
hear	549	857
parking	402	378
tender	319	743
close	221	306
noodles	16	1040
flavor	180	210
packed	357	314
said	356	406
visiting	845	842
lots	355	271
wow	767	637
please	636	778
ve ever	474	386
won	170	346
yogurt	1003	1048
probably	240	216
across	722	600
meal	67	102
affordable	359	636
we	534	599
recently	533	607
10	220	282
attention	532	1016
however	264	232
job	469	802
coffee	634	50
french	283	266
great selection	813	770
sweet potato	721	998
must try	370	950
come	114	53
kitchen	531	587
hours	468	328
fried	89	191
last	190	296
little pricey	720	997
always	21	17
many	144	98
taking	530	984
service great	318	361
quiet	529	955
amazing	33	24
etc	909	655
else	350	313
games	908	383
let	301	407
whole	719	385
asked	633	876
comes	400	344
otherwise	632	996
liked	353	486
mac cheese	1000	493
point	466	477
simple	631	586
had	263	323
others	718	939
top notch	999	824
walk	465	315
ve never	374	555
tons	982	937
simply	528	712
away	241	267
italian food	998	889
table	219	83
crispy	189	503
expensive	352	263
turkey	997	815
better	55	60
beef	41	166
addition	399	763
west	630	702
going back	527	967
tiny	812	983
quickly	351	482
beer	526	26
much	49	61
seasoned	996	995
treat	560	578
reservations	600	537
expected	906	681
lovely	717	724
mary	995	777
bbq	525	262
life	716	611
lived	968	1045
flavorful	222	570
pie	948	388
orange	398	970
pricey	316	237
pulled pork	993	954
doesn	349	373
definitely worth	464	794
catch	820	959
quick	43	186
brunch	905	73
attentive	463	355
chill	904	680
would definitely	903	938
great service	315	318
look	627	366
solid	218	312
sauce	46	119
bill	626	1055
gem	473	602
cash	523	511
value	261	635
choices	625	472
weren	583	1065
fun	217	58
loop	239	299
wait staff	522	801
would	31	31
ve	17	25
almost	286	332
staff friendly	810	574
happy hour	907	565
sushi	45	110
surprisingly	830	844
middle	809	671
evening	574	473
upscale	715	731
in	143	243
ready	622	849
breakfast	314	104
around	113	106
gone	386	927
cuisine	347	634
different	178	155
delicious food	598	758
pay	565	507
make	63	41
bowl	51	552
check	506	224
food	1	2
delicious	18	19
split	759	980
party	666	301
cream	597	248
events	756	805
restaurant	11	30
week	459	259
fairly	620	823
finish	712	1054
one best	313	236
again	201	284
drink	238	70
hang	901	444
hand	808	974
average	205	339
would go	744	791
garlic	521	648
quality food	458	1030
great location	991	848
tuna	711	888
totally	618	592
beer list	989	620
butter	807	471
dark	397	545
off	806	870
try	32	28
floor	617	514
well	28	29
food delicious	616	654
deal	611	450
thought	457	440
burgers	987	101
priced	130	245
without	260	286
juicy	686	807
bottle	900	730
the	215	333
spend	805	760
great place	198	79
left	520	568
seasonal	986	899
things	462	275
watching	916	556
outdoor	285	235
less	346	439
knowledgeable	899	684
half	396	317
rest	519	869
not	417	550
roasted	911	947
touch	802	1022
yes	456	510
recommend	71	67
yet	169	409
guacamole	1051	727
tables	214	280
generous	345	982
cut	615	789
die for	395	548
family	518	276
cup	897	647
seems	284	484
they re	408	381
wall	454	821
add	453	615
location	125	85
easy	188	371
sweet	79	162
coming back	896	776
extensive	801	847
surprised	614	670
gave	517	719
real	311	399
customers	895	1061
to	254	264
also great	394	701
big	101	113
couple	613	403
it worth	894	896
early	515	269
game	710	253
whatever	415	962
outdoor seating	452	669
world	800	499
bit	84	69
highly	216	207
disappointed	160	360
wings	343	402
meat	226	161
lincoln	709	528
helpful	451	530
onion	799	728
cool	393	157
you re	132	71
50	797	1047
serves	449	1060
server	514	358
either	798	462
night	159	34
popular	448	676
everyone	443	214
nice	19	20
soft	708	749
italian	981	153
seating	133	173
right	109	90
old	447	182
live music	971	788
crowd	825	254
what	428	1014
absolutely	342	329
highly recommend	341	343
date night	707	953
play	1019	618
tvs	980	1006
decor	90	118
service	7	8
lobster	979	748
you re looking	610	697
ordering	151	544
trendy	609	952
unless	642	1009
love place	446	305
sauces	706	769
food amazing	513	678
slice	796	591
mood	608	1021
for	282	283
phenomenal	795	1005
avoid	705	895
ice	591	292
creative	607	653
great time	873	808
everything	108	86
going	73	82
truffle	978	898
three	445	382
decent	110	151
be	444	718
run	892	646
business	977	590
intimate	391	922
corn	976	861
overall	168	255
isn	324	309
go back	340	260
although	259	322
amazing food	512	875
pasta	1049	417
sandwiches	258	181
prepared	383	285
super	119	130
noisy	792	936
on	390	563
about	704	935
ok	309	268
diner	703	425
anything	257	257
getting	572	326
of	702	902
ribs	974	562
months	957	627
favorite	26	36
shrimp	72	438
always great	890	759
dinner	62	72
old school	791	910
beans	884	645
afternoon	762	766
wicker	677	781
mixed	606	887
every time	256	479
slightly	339	775
pastries	972	934
prices	64	117
food good	123	180
eaten	511	799
servers	461	485
down	510	437
lakeview	308	1039
weather	843	738
even though	605	616
parties	790	994
next	175	215
rolls	38	348
often	392	357
impressed	509	675
fast	78	203
bar food	970	547
tasting	604	610
love it	667	819
friends	117	64
people	96	45
20	212	518
spots	698	683
meals	388	755
start	697	492
don know	603	838
low	280	668
homemade	888	624
lou	887	966
call	602	663
it always	788	1029
happy	442	220
head	886	754
buy	885	921
north	441	307
offer	338	325
anywhere	333	886
great experience	787	1046
but	440	475
back	83	27
delivery	69	533
bun	786	837
line	208	183
trying	439	363
with	785	853
eat	61	63
also	13	16
rush	784	909
made	131	99
portions	82	217
romantic	306	951
much better	320	960
come back	585	465
food service	471	613
inside	305	223
wife	387	762
fries	202	107
up	508	336
us	185	116
byob	35	311
whiskey	969	787
cake	695	354
piece	1001	855
minutes	279	338
called	694	1015
say	141	143
atmosphere great	883	897
instead	450	729
outdoor patio	882	813
sometimes	213	391
ordered	70	136
classic	693	349
taste	88	160
rather	629	723
best	8	9
al	881	993
deep	692	212
hungry	539	715
single	599	1053
tasty	107	92
daily	1062	722
home	186	242
mediocre	782	1028
cafe	714	374
trip	926	649
fill	713	1031
looked	538	904
veggie	505	494
know	124	125
incredible	855	448
highly recommended	781	1038
tip	437	741
green	163	543
menu	20	22
saturday	504	398
started	863	797
crust	1012	209
special	194	144
you	37	23
incredibly	612	633
roll	177	481
ever had	503	461
place get	691	714
star	140	468
monday	879	926
felt	436	639
stay	891	768
chance	596	1052
reservation	595	424
pizzas	1039	535
weekend	789	316
sides	878	644
ago	780	908
potato	502	452
lot	139	138
food excellent	690	828
quite	127	211
walked	965	836
cooked	336	379
portion	199	580
craft	877	572
came	134	145
go wrong	413	434
time	22	18
at	507	933
fresh	68	81
baked	779	894
original	876	747
