term	rank_other	rank_category
food pretty	1040	933
always	20	17
donuts	787	627
give	153	208
visit	228	239
two	302	139
sports	781	438
live	226	249
ve tried	407	1035
call	567	659
crab	1039	589
recommend	154	67
worth wait	527	681
care	959	785
type	1037	619
tell	714	574
more	405	449
can wait	713	922
door	301	403
pretty	44	38
club	754	715
bottle	921	734
line	52	190
chocolate	8	206
downtown	1035	479
glass	1034	618
really great	1033	742
warm	300	372
beers	1032	191
best ve	710	1043
excellent	299	61
known	1031	780
glad	403	1024
must	132	150
customer	709	882
grill	1029	866
bartender	1028	720
room	1027	178
salad	1070	131
this	298	679
local	525	244
past	540	713
oh	434	427
list	309	168
friendly	32	44
reviews	708	1069
soup	1025	280
anywhere	772	827
bloody mary	912	942
of	433	911
meet	954	637
dining experience	706	1012
something	296	147
beautiful	1024	501
heart	522	696
crazy	185	706
really nice	402	769
tap	1023	446
do	618	904
choice	378	364
restaurants	957	242
share	520	515
days	381	638
high	705	245
heard	1021	667
foods	704	764
way	96	93
salty	703	881
veggies	1020	1042
want	110	65
every	60	86
times	295	114
lamb	1019	894
huge	183	129
needs	702	1011
end	518	349
winter	184	756
sit	152	228
rather	701	723
comfort	694	1001
small plates	1018	914
love it	516	819
lounge	1017	865
ve never	401	552
sunday	413	343
plus	400	292
establishment	699	736
goat	293	541
pizza	979	22
fare	1015	716
entree	1014	818
okay	1013	388
traditional	428	530
rude	964	1075
may	515	330
overall	162	255
dive	697	1023
dish pizza	1011	641
you ll	292	268
spot	87	49
mac	1010	464
birthday	1009	443
vegan	1008	461
taco	1007	400
date	399	204
salsa	976	740
appetizer	896	470
guys	817	927
man	696	945
tomato	1004	741
short	1003	693
remember	514	676
four	418	852
crowded	224	196
light	657	557
tapas	1002	572
counter	211	809
lines	222	816
think	76	111
like	17	13
vibe	559	399
cannot	207	1079
honestly	647	830
south	956	687
pay	350	504
ingredients	395	346
re looking	695	695
pulled	915	748
playing	997	1067
bartenders	910	492
wine	996	123
cute	181	602
serving	478	1080
mexican	290	212
help	513	932
really like	512	842
it great	221	416
soon	693	605
deep dish pizza	995	654
ended	893	1007
logan	692	1052
including	994	611
looks	510	555
cold	130	468
still	180	125
dont	393	864
perfect	86	117
style	993	200
group	992	197
treat	108	597
la	991	735
personal	691	1010
interesting	129	368
ll	179	109
appetizers	990	395
avocado	989	1066
hot	15	96
actually	392	300
late	203	189
offers	391	661
choose	85	482
orange	854	928
hidden	988	698
great service	606	318
sauce	509	115
visiting	481	848
split	508	988
good place	987	355
wouldn	689	609
them	688	391
someone	604	628
return	986	762
combination	389	889
entire	311	817
food	178	2
well worth	220	851
veggie	756	493
lunch	984	64
try	26	29
starbucks	983	1000
they	289	193
party	700	302
not	388	551
bar	473	15
wicker park	506	825
now	505	719
day	37	94
bread	982	222
easily	687	815
gets	172	293
meat	1000	165
potatoes	937	584
reasonably	685	487
didn	219	186
events	981	797
filling	684	653
weather	503	750
stopped	683	1076
reasonable	387	333
rock	980	944
found	682	411
went	218	78
out	237	132
meal	502	98
mean	978	850
heavy	681	810
el	977	1034
everyone	182	217
upstairs	902	608
wrong	149	299
house	680	286
fish	975	270
hard	501	291
ambiance	500	342
idea	499	983
sports bar	974	1009
owner	679	594
finish	600	1060
expect	973	307
great place go	677	1008
year	107	755
girl	972	841
thing	109	194
salads	676	497
saturday	553	401
special	321	144
might	324	366
get early	971	919
leave	543	520
cocktail	1012	432
space	287	182
open	284	181
little bit	675	786
since	216	202
lunch dinner	969	982
work	186	153
looking	106	157
re	65	46
laid	968	1033
got	128	108
get	13	7
pretty good	384	254
red	105	351
shows	966	931
food great	965	187
also good	963	1055
friday	674	494
given	498	878
pub	962	563
20	569	491
pleasant	961	999
hype	623	951
completely	533	1014
put	673	428
wanted	383	517
greasy	1038	820
unique	73	227
ate	672	791
couldn	496	678
selections	671	930
waiter	958	585
could	84	126
area	176	79
ask	175	341
terrible	1022	1068
keep	670	405
conversation	669	918
american	668	577
person	386	544
yum	380	640
ve ever had	325	766
even better	283	916
margaritas	855	539
loud	667	306
top	151	149
waitress	999	508
first	126	95
cheese	214	63
dine	955	814
there	41	77
hands down	492	1065
it good	491	699
feel	490	128
coming	379	252
number	953	1032
fancy	666	648
one	18	10
lettuce	952	981
river	622	397
done	951	371
fast	243	195
another	950	285
wasn	949	267
bland	880	1078
art	471	950
thick	489	967
miss	382	419
size	125	523
take	122	92
city	35	57
guess	664	917
long	59	110
quality	217	140
spinach	947	906
gourmet	946	998
authentic	1005	308
bite	663	380
least	174	356
anyone	945	514
wonderful	213	238
ton	662	921
too	58	99
stuffed	944	718
white	488	543
perfectly	943	481
really	16	11
dogs	487	593
friend	375	230
option	294	360
mostly	661	1054
that	104	112
can go	282	634
exactly	942	1074
park	276	229
took	660	354
part	147	386
off	257	897
thai	940	243
believe	173	888
haven	659	499
great beer	939	534
kind	658	247
12	938	1050
15	629	674
double	376	975
seated	936	490
matter	935	905
street	307	271
store	124	729
toppings	24	556
maybe	223	376
sweet potato	616	995
feeling	933	803
and	280	301
tasted	279	478
outstanding	932	582
can	88	84
first time	707	456
mind	856	506
locations	931	875
comfortable	654	808
say	239	142
medium	716	1083
homemade	138	663
service always	653	1031
pork belly	929	1082
seen	928	636
breakfast	840	103
saw	278	874
sat	927	943
nights	651	412
place	5	3
dishes	926	122
dancing	925	1081
convenient	924	1073
able	374	507
waffles	818	828
dining	592	201
they re	649	379
long wait	485	966
square	150	625
place good	730	970
which	648	873
interior	373	838
so	587	414
korean	923	954
even	23	56
good beer	792	717
sure	50	97
unless	922	987
food amazing	802	664
next time	372	872
though	94	73
serve	75	363
eggs	798	424
salmon	920	849
sausage	919	529
buffet	918	1064
regular	646	521
mouth	371	802
plan	917	871
eaten	645	790
nothing	484	198
extremely	483	571
don	69	40
especially	83	172
hot dog	916	863
egg	998	431
seafood	877	374
later	721	694
hungry	914	704
order	120	52
looked	913	887
definitely	64	42
nice place	911	801
patio	394	138
clean	171	513
occasion	909	915
typical	643	496
wow	519	642
came	480	141
shop	36	430
walking	232	976
selection	49	50
shot	908	997
overpriced	907	553
show	479	426
crust	536	214
cheap	641	216
bring	170	260
large	275	167
corner	905	862
good service	1058	442
fine	640	554
enjoyed	727	283
staff	31	37
toast	639	440
slow	412	398
based	477	980
food drinks	903	877
daily	545	745
weekends	476	340
ve ever	119	390
fruit	166	885
here	113	53
only	901	893
stand	193	767
black	274	633
rich	133	680
money	369	532
chipotle	900	1030
rice	899	295
feel like	637	540
loved	208	233
plate	636	434
hit	273	498
10	619	281
beat	635	652
michigan	898	728
de	897	658
watch	225	335
hot chocolate	102	1039
truly	1006	763
go to	634	657
joint	633	462
feels	632	953
ones	397	879
perfection	631	1029
despite	895	996
reasonably priced	630	528
late night	377	381
years	627	348
chips	894	439
place go	206	232
gem	474	595
scene	605	794
course	511	361
pretzel	892	1006
sandwich	472	146
morning	626	617
twice	625	952
bad	272	162
stuff	624	632
wish	323	475
grilled	960	469
grab	368	323
steak	1036	166
view	890	542
available	269	527
bars	888	459
set	271	886
place chicago	948	1041
bit pricey	621	964
fair	470	974
lincoln park	445	939
lot	159	137
seat	886	565
cocktails	885	225
see	146	164
decided	469	776
college	884	1063
parking	620	370
tender	883	711
close	367	303
noodles	882	575
flavor	22	224
packed	169	315
said	366	404
great food	881	145
lots	365	274
review	642	738
please	270	789
enough	215	160
won	467	337
going back	357	963
it	4	5
probably	145	215
across	879	599
wide	205	898
affordable	889	616
we	466	598
recently	465	607
attention	878	986
however	363	231
job	617	784
coffee	268	51
french	806	263
key	493	1022
visited	281	839
must try	967	907
come	57	54
kitchen	874	581
hours	98	338
fried	872	177
last	267	294
little pricey	266	1028
restaurant	463	28
many	43	101
taking	462	979
service great	362	358
quiet	615	941
amazing	14	25
etc	361	673
else	608	313
games	265	389
quite	127	205
whole	461	387
asked	871	861
comes	360	347
otherwise	870	978
liked	868	480
mac cheese	867	503
point	359	483
simple	460	588
had	204	321
others	358	959
whatever	495	929
walk	144	319
variety	188	289
happy hour	866	569
simply	459	710
away	364	269
italian food	614	903
table	613	83
crispy	865	473
expensive	263	266
turkey	864	829
better	51	59
cream	2	413
beef	863	155
addition	612	737
decent	458	148
due	570	936
tiny	611	994
quickly	202	489
beer	262	26
much	56	60
seasoned	862	1021
west	356	709
excellent service	861	1077
tv	610	1020
expected	860	685
lovely	859	722
mary	858	788
bbq	857	264
life	457	621
modern	656	601
flavorful	655	550
juicy	1080	792
savory	690	989
pricey	82	246
pulled pork	853	973
doesn	168	373
definitely worth	607	779
catch	628	965
brunch	852	76
attentive	851	352
standard	261	526
deep dish	1078	253
would definitely	849	949
main	390	705
look	848	367
solid	260	309
need	354	220
bill	847	1049
cash	456	505
value	846	604
choices	353	486
weren	728	1056
fun	143	58
located	238	455
loop	845	298
wait staff	844	782
stop	118	209
would	81	31
ve	27	23
almost	200	332
staff friendly	259	586
is	455	576
sushi	843	102
side	167	135
surprisingly	486	856
rooftop	875	795
middle	842	670
evening	404	485
upscale	841	727
experience	66	69
in	351	236
ready	453	847
seem	652	749
cuisine	839	615
decor	80	121
cafe	452	378
suggest	869	775
make	29	41
bowl	603	465
check	189	226
delicious	19	19
pad	838	846
belly	837	692
plates	836	409
several	504	460
mexican food	834	691
tried	95	158
week	258	265
fairly	451	823
outside	117	184
used	678	415
pho	833	962
slightly	432	754
one best	599	235
drink	450	71
hang	598	453
hand	449	993
average	482	331
would go	494	796
garlic	832	631
quality food	831	992
great location	601	869
tuna	830	876
cupcake	507	961
totally	447	592
hear	665	840
beer list	829	630
butter	74	516
dark	442	538
noodle	827	1005
burrito	941	739
makes	97	170
incredible	579	452
well	33	30
food delicious	825	645
deal	338	458
non	454	824
thought	824	441
burgers	823	104
priced	550	234
without	256	288
hot dogs	822	985
the	348	329
spend	821	761
great place	89	80
left	820	568
seasonal	255	940
things	291	279
watching	475	570
outdoor	347	237
less	597	433
true	446	920
knowledgeable	819	690
half	596	320
rest	595	855
front	346	447
roasted	887	960
touch	594	1038
yes	444	502
yet	198	394
apple	409	857
tables	593	278
generous	443	958
cut	815	778
die for	345	549
family	254	282
cup	148	686
seems	814	472
recommended	591	511
wall	253	822
add	344	614
location	55	87
easy	590	359
sweet	101	159
coming back	813	781
extensive	589	854
surprised	588	666
gave	812	708
real	197	402
around	142	106
also great	196	702
big	79	113
couple	586	408
it worth	811	896
early	828	273
game	810	256
top notch	264	860
outdoor seating	585	656
world	441	510
bit	343	68
highly	349	207
disappointed	440	350
wings	809	396
name	686	500
lincoln	164	548
instead	342	726
helpful	195	535
onion	808	730
cool	163	163
tons	711	969
serves	584	1048
server	807	357
either	251	477
night	78	36
popular	439	665
served	340	297
nice	48	20
soft	339	760
awesome	45	43
making	523	561
seating	90	174
right	72	91
old	47	192
live music	431	813
crowd	644	259
what	426	977
absolutely	437	328
highly recommend	337	345
date night	805	948
play	277	647
tvs	804	1026
50	341	1071
service	70	8
lobster	803	759
you re looking	583	697
trendy	582	947
multiple	733	1057
love place	116	314
sauces	581	774
slice	801	591
mood	580	1019
for	249	287
phenomenal	578	1018
avoid	577	892
best	10	9
creative	140	677
wine list	800	957
everything	115	88
going	92	82
truffle	799	912
three	436	382
price	121	120
be	797	701
eating	1059	305
business	576	603
intimate	796	891
corn	575	884
isn	285	310
go back	247	262
although	574	317
amazing food	794	853
pasta	1043	420
sandwiches	336	185
stay	319	793
super	53	134
noisy	793	938
on	335	562
about	791	926
ok	194	272
diner	790	423
anything	334	258
getting	526	326
always good	524	689
ribs	789	573
delish	572	984
favorite	34	34
shrimp	788	393
always great	571	773
dinner	139	70
old school	246	937
beans	770	651
afternoon	698	768
wicker	408	787
mixed	333	890
every time	245	471
italian	438	154
curry	1053	743
pastries	786	956
prices	201	116
food good	785	176
buy	191	971
plenty	332	422
al	423	1025
servers	602	488
down	331	444
small	62	75
lakeview	244	1017
good time	783	807
even though	330	624
parties	782	991
next	227	210
rolls	780	312
often	141	362
impressed	779	660
bar food	778	559
tasting	242	622
aren	777	672
friends	136	66
people	54	45
spots	568	683
meals	775	725
start	774	495
don know	241	845
low	328	643
stars	537	606
lou	773	972
music	406	105
it always	327	1059
happy	192	223
head	430	772
spicy	930	257
north	326	311
offer	161	327
great experience	566	1058
but	565	476
back	40	27
delivery	564	457
greek	398	880
bun	771	835
you re	68	72
trying	240	365
with	563	859
eat	114	62
also	25	16
rush	769	910
made	77	100
portions	562	203
romantic	768	902
places	137	118
service good	561	590
food service	891	600
inside	429	219
wife	322	753
fries	767	107
up	190	344
us	766	119
different	63	156
byob	765	276
whiskey	764	800
cake	39	377
piece	763	868
minutes	427	339
called	762	1004
tastes	123	536
atmosphere great	761	901
gone	560	900
outdoor patio	425	826
sometimes	165	384
ordered	329	130
classic	424	353
taste	71	161
reservations	760	533
pie	521	392
deep	557	213
ordering	422	509
single	759	1047
lived	609	1072
tasty	160	90
together	555	662
home	250	240
mediocre	758	1037
delicious food	757	747
trip	210	675
fill	835	1027
again	556	284
know	91	124
floor	826	512
highly recommended	755	1046
tip	554	724
green	396	518
menu	209	21
event	385	688
started	712	804
thai food	744	1016
ice cream	3	908
you	30	24
incredibly	252	644
roll	753	454
ever had	320	467
place get	752	714
star	751	437
monday	552	946
felt	551	626
prepared	435	290
chance	750	1045
reservation	749	418
pizzas	1001	545
weekend	776	316
sides	748	650
opened	288	831
ago	235	935
notch	234	799
potato	549	451
dog	199	425
food excellent	747	821
walked	746	844
casual	650	484
cooked	745	369
portion	318	558
craft	784	579
fact	317	668
go wrong	212	436
time	21	18
at	421	925
fresh	100	81
baked	548	895
original	547	758
