term	rank_other	rank_category
cute	1002	586
serving	929	1068
mexican	1001	210
help	1000	918
really like	999	831
it great	391	418
soon	535	610
making	1028	557
deep dish pizza	998	652
ended	917	1011
logan	997	1038
including	996	612
looks	390	560
left	465	570
cold	389	458
still	120	126
dont	534	860
perfect	138	116
style	242	199
rooftop	881	794
la	995	737
personal	994	999
interesting	736	365
ll	89	110
appetizers	993	397
avocado	992	1071
sunday	94	352
actually	991	300
late	474	189
offers	533	660
choose	990	457
orange	988	931
hidden	735	705
main	734	702
might	145	372
split	732	980
good place	304	364
wouldn	387	615
coffee	657	50
evening	550	479
return	987	762
combination	731	877
entire	785	800
food	2	2
well worth	730	827
number	958	1027
lunch	106	64
starbucks	984	998
they	190	194
hands	983	509
front	856	444
wicker park	532	826
now	729	716
day	39	95
bread	386	225
easily	385	825
several	293	468
name	981	502
potatoes	287	597
reasonably	531	489
didn	137	188
sangria	930	874
mexican food	873	690
filling	530	659
weather	529	751
stopped	979	1070
reasonable	528	335
rock	978	940
found	384	414
went	76	78
pizza	383	22
side	128	132
mean	728	859
heavy	727	812
el	977	1028
square	976	600
upstairs	927	609
venue	1068	754
fish	75	280
hard	156	297
ambiance	303	345
idea	975	972
sports bar	974	1012
owner	725	595
used	382	417
expect	724	311
great place go	973	997
year	972	711
girl	723	852
thing	107	193
salads	722	498
event	971	677
ice cream	582	374
out	189	131
place get	803	714
specials	427	213
opened	526	820
space	238	182
house	239	290
walked	577	855
little bit	381	798
since	118	203
lunch dinner	970	979
looking	188	158
re	43	46
laid	720	1037
must try	388	924
got	42	109
get	9	7
pretty good	237	257
red	525	348
shows	969	930
food great	187	191
also good	968	1055
friday	967	492
guess	520	922
pub	966	563
standard	647	525
pleasant	965	996
hype	179	987
completely	1047	989
ask	377	337
wanted	523	514
greasy	406	838
ate	522	797
couldn	718	680
selections	717	929
waiter	716	590
could	54	127
area	105	81
put	300	433
terrible	754	1076
would go	713	789
keep	715	408
conversation	714	916
american	963	576
person	726	542
yum	299	648
ve ever had	812	746
even better	519	903
margaritas	890	546
loud	962	307
top	157	148
waitress	740	515
first	86	97
cheese	32	63
dine	297	837
hands down	960	1054
it good	959	698
feel	296	128
next time	504	869
scene	886	786
fancy	374	658
one	18	10
price	114	119
lettuce	957	978
done	184	386
long	104	107
another	295	289
wasn	294	268
bland	908	1078
art	666	939
thick	521	971
miss	378	424
size	710	505
take	154	92
city	103	56
given	719	876
quality	302	138
spinach	709	909
gourmet	953	994
authentic	569	313
bite	373	383
least	518	354
anyone	708	519
wonderful	292	234
ton	707	921
too	155	99
stuffed	952	719
first time	399	466
white	372	552
perfectly	517	485
really	11	11
dogs	951	589
store	950	697
option	541	361
mostly	706	1053
that	236	112
can go	515	625
exactly	705	1081
serve	291	356
took	290	360
part	289	385
burrito	370	761
thai	949	242
believe	704	851
haven	235	513
chef	763	381
kind	288	249
12	514	1061
15	920	675
great beer	948	539
double	513	970
appetizer	494	475
crowded	305	196
told	413	765
seated	286	501
matter	663	907
friend	183	230
maybe	741	375
visited	511	830
feeling	701	811
great food	283	144
and	510	304
tasted	947	469
outstanding	946	585
can	91	83
modern	509	606
flavorful	508	554
locations	699	885
comfortable	698	810
tastes	369	531
buy	435	948
homemade	438	640
have	884	1073
pork belly	945	1080
seen	507	647
seem	696	750
saw	695	849
sat	694	954
nights	944	413
place	4	3
dishes	693	121
dancing	943	1079
convenient	942	1075
able	505	504
great place	253	79
mix	309	574
recommended	343	522
beer selection	337	252
which	692	875
interior	691	829
green	243	526
even	62	54
play	690	633
sure	84	96
multiple	829	1041
food amazing	834	671
though	134	72
park	181	229
eggs	689	428
salmon	688	857
sausage	938	530
buffet	937	1069
regular	368	527
mouth	687	788
plan	503	887
eaten	502	796
nothing	74	198
extremely	367	573
give	192	209
especially	284	169
hot dog	936	868
egg	1004	434
seafood	906	378
sometimes	850	382
dog	855	419
crowd	686	260
order	28	53
looked	685	890
definitely	31	42
nice place	683	809
patio	64	139
clean	231	508
bun	595	841
wine	739	124
wow	396	649
fact	799	654
shop	933	407
walking	794	946
selection	132	49
shot	932	993
overpriced	931	553
show	681	423
long wait	941	953
cheap	153	220
bring	680	259
large	131	172
corner	928	867
good service	1067	443
fine	499	559
enjoyed	280	286
staff	72	36
toast	180	449
slow	773	393
based	679	976
food drinks	498	889
with	430	872
weekends	678	341
outside	117	183
here	93	51
only	675	895
going	38	82
black	497	624
rich	403	661
money	230	538
chipotle	926	1025
rice	229	303
feel like	674	548
loved	228	232
plate	925	431
hit	673	491
great spot	1023	822
beat	227	676
michigan	924	728
de	495	672
watch	539	334
rush	262	932
truly	744	769
go to	672	657
joint	281	472
feels	671	951
ones	1006	861
perfection	492	1035
despite	921	992
reasonably priced	491	534
late night	703	380
spicy	182	262
years	490	351
chips	918	440
place go	226	231
gem	670	594
bar	101	15
course	738	366
pretzel	669	1019
sandwich	53	147
morning	489	617
twice	488	960
bad	151	163
stuff	916	628
wish	162	482
grilled	186	486
grab	364	328
river	915	396
view	914	550
affordable	487	622
bars	913	461
set	667	866
place chicago	955	1036
bit pricey	665	969
fair	912	959
roasted	178	1010
seat	363	572
cocktails	225	227
see	177	162
decided	486	775
college	911	1067
parking	910	376
tender	224	731
close	664	305
noodles	909	575
flavor	71	211
packed	362	318
said	484	406
visiting	733	844
lots	483	273
review	500	748
please	662	774
ve ever	676	384
won	482	340
going back	355	967
yogurt	661	1074
probably	223	216
across	361	611
wide	481	884
available	907	523
we	360	603
recently	660	602
10	222	285
tables	168	283
attention	480	1009
however	149	233
job	658	782
french	211	267
great selection	904	773
sweet potato	359	1018
group	479	197
come	116	52
kitchen	903	584
hours	176	333
fried	7	204
last	478	295
little pricey	902	986
always	119	17
many	221	100
taking	901	968
service great	900	358
quiet	656	938
amazing	19	25
etc	899	664
else	274	317
games	655	391
quite	301	202
whole	175	395
asked	477	883
comes	279	349
otherwise	654	985
honestly	233	858
liked	278	490
key	961	995
point	358	481
wall	631	808
seems	461	478
rather	543	729
whatever	964	917
walk	277	319
ve never	1020	549
happy hour	897	567
non	634	818
away	150	269
italian food	896	894
table	44	84
crispy	276	484
expensive	895	261
turkey	356	848
better	33	59
light	512	562
cream	258	251
beef	894	155
addition	651	740
west	893	701
due	606	933
tiny	220	1034
quickly	354	480
beer	130	26
much	51	60
seasoned	473	1033
treat	737	577
expected	472	696
lovely	650	727
mary	649	795
bbq	70	274
life	275	623
lived	891	1066
mind	470	518
pie	756	392
savory	648	984
pricey	353	241
pulled pork	889	975
doesn	469	373
definitely worth	352	787
catch	919	961
chili	1079	990
attentive	468	357
deep dish	1074	255
would definitely	467	966
great service	273	324
look	646	370
solid	645	309
sauce	15	122
bill	888	1043
cash	644	503
value	129	632
choices	887	474
weren	563	1062
fun	466	58
loop	885	301
wait staff	643	785
would	21	31
service always	697	1026
almost	218	336
incredible	622	456
is	883	571
sushi	882	102
surprisingly	702	850
middle	642	679
someone	349	636
upscale	641	730
in	217	236
ready	880	835
breakfast	348	104
cuisine	879	614
decor	272	117
delicious food	331	767
open	85	184
french toast	315	629
hot	88	93
suggest	653	779
make	50	41
bowl	61	493
check	259	226
delicious	16	19
pad	878	847
belly	877	691
party	750	306
great location	875	865
gets	982	291
events	980	799
restaurant	36	28
week	347	265
fairly	637	819
finish	872	1052
pho	871	965
one best	271	237
again	423	284
drink	127	74
hang	870	454
hand	869	977
average	232	342
fruit	868	843
garlic	346	646
quality food	867	991
favorites	866	529
highly	270	208
tuna	865	882
cupcake	985	941
totally	864	588
beer list	636	635
butter	49	524
early	216	276
noodle	863	1007
off	635	881
try	14	29
floor	862	512
well	82	30
food delicious	861	645
know	266	123
thought	215	452
burgers	860	103
priced	257	235
without	214	294
juicy	322	817
hot dogs	859	983
the	345	331
spend	269	781
meet	711	641
seasonal	858	906
summer	170	195
watching	496	568
outdoor	169	239
less	344	439
knowledgeable	857	689
half	464	323
rest	463	864
not	240	556
lincoln park	854	920
touch	462	1042
yes	268	511
waffles	102	896
yet	213	394
guacamole	632	739
dining	212	200
generous	853	937
cut	852	778
die for	851	545
cup	516	666
had	652	321
they re	234	388
simple	476	592
add	630	608
location	126	86
easy	342	368
sweet	69	161
coming back	629	784
extensive	849	846
surprised	848	663
gave	267	726
real	341	400
around	167	105
would recommend	251	579
also great	847	686
big	68	113
couple	115	416
it worth	459	905
dark	458	544
game	628	256
top notch	357	856
outdoor seating	846	651
world	340	517
bit	67	68
unique	627	221
disappointed	457	353
wings	24	430
meat	191	165
lincoln	845	535
instead	455	721
helpful	456	536
onion	626	735
cool	454	160
you re	80	71
tons	625	964
serves	844	1032
server	624	362
either	623	471
night	125	35
popular	843	656
simply	475	710
nice	26	20
soft	452	757
italian	841	154
seating	147	173
right	81	91
old	451	187
live music	818	803
deal	840	453
people	35	45
absolutely	210	332
highly recommend	339	347
date night	839	949
good beer	616	720
tvs	838	1023
service	22	8
lobster	837	760
you re looking	836	695
trendy	835	936
unless	940	988
love place	209	314
sauces	208	793
slice	449	599
mood	448	1022
for	447	287
phenomenal	833	1006
avoid	621	888
ice	573	296
creative	832	644
great time	793	815
everything	99	88
truffle	830	904
three	338	387
decent	174	149
be	446	715
run	620	655
business	619	601
intimate	774	897
corn	166	914
overall	265	253
isn	298	312
go back	264	264
although	618	320
served	453	299
river north	828	564
sandwiches	146	186
stay	329	792
super	60	130
noisy	827	935
on	615	558
about	614	934
ok	165	271
diner	826	425
anything	825	258
oh	336	429
always good	1029	681
craft	607	583
delish	613	982
favorite	98	34
shrimp	612	399
always great	611	772
dinner	97	70
old school	610	913
plus	1018	292
afternoon	540	776
wicker	553	780
mixed	608	880
every time	442	470
curry	1055	744
pastries	821	957
prices	173	115
food good	124	177
meal	63	98
plenty	263	427
enough	87	164
servers	638	488
down	605	442
small	59	75
lakeview	164	1031
good time	820	807
even though	441	620
parties	604	1005
next	194	212
rolls	603	315
often	450	359
impressed	602	670
fast	20	205
bar food	817	561
tasting	816	607
aren	601	682
friends	112	66
there	207	76
20	335	497
spots	600	685
sides	48	713
start	814	496
don know	439	834
low	334	643
stars	493	605
lou	813	974
music	407	106
it always	436	1051
happy	333	222
head	599	768
medium	1041	1077
north	598	310
offer	434	326
recommend	40	67
great experience	597	1060
but	432	477
back	23	27
delivery	596	460
hear	956	836
beans	431	662
don	46	40
line	193	185
trying	163	369
true	633	915
eat	96	62
also	25	16
hot chocolate	923	962
made	95	101
portions	113	207
romantic	811	901
places	144	118
come back	779	467
food service	668	604
inside	206	223
potato	326	459
fries	58	111
up	332	344
us	205	120
different	171	156
byob	594	279
whiskey	810	802
cake	204	367
piece	83	950
minutes	261	343
called	809	1004
say	143	141
atmosphere great	808	900
gone	592	899
outdoor patio	591	824
later	316	707
ordered	41	136
classic	590	355
taste	203	159
reservations	589	541
best	8	9
al	805	1003
deep	588	214
ordering	587	507
single	425	1059
tasty	260	90
at	586	919
home	100	243
mediocre	424	1050
cafe	640	379
trip	506	665
fill	874	1024
traditional	593	533
veggie	422	500
variety	804	288
highly recommended	585	1049
tip	584	724
menu	45	21
saturday	583	402
club	202	734
special	136	145
you	27	24
incredibly	581	631
roll	421	462
ever had	842	463
get early	721	923
star	580	441
monday	579	947
felt	420	630
prepared	617	293
town	161	190
chance	328	1065
occasion	501	928
reservation	802	422
pizzas	1008	551
weekend	440	322
meals	815	725
ago	578	912
notch	327	791
wife	428	745
mac cheese	52	547
lot	256	137
food excellent	801	823
daily	1070	733
cooked	419	377
portion	576	555
thai food	800	1017
came	73	143
go wrong	371	432
time	17	18
fresh	201	80
baked	575	892
original	418	766
